movie_name_cn,movie_name_en,review_count,avg_star,like_sum,positive_count,negative_count,neutral_count,star_1,star_2,star_3,star_4,star_5,positive_rate,negative_rate,neutral_rate,bayesian_star,recommendation
疯狂动物城,Zootopia,137511,4.636749060075194,51147,130138,851,6522,343,508,6522,34011,96127,0.9463824712204841,0.006188595821425195,0.04742893295809063,4.634575585663475,推薦
你的名字,Your Name,113260,4.31097474836659,119717,93851,4054,15355,1524,2530,15355,33643,60208,0.8286332332685855,0.03579374889634469,0.13557301783506975,4.309197746000962,推薦
大圣归来,CUG King of Heroes,133393,4.266475752100935,99573,109284,5846,18263,2395,3451,18263,41388,67896,0.8192633796376122,0.04382538813880788,0.13691123222357995,4.265066204183234,推薦
爱乐之城,La La Land,96620,4.221548333678327,95939,78411,4073,14136,1394,2679,14136,33329,45082,0.8115400538190851,0.042154833367832746,0.14630511281308217,4.219743046181068,推薦
釜山行,Train to Busan,102876,4.124275827209456,92061,82200,3430,17246,1236,2194,17246,44073,38127,0.7990201796337338,0.033341109685446554,0.16763871068081962,4.122862836666174,推薦
复仇者联盟,The Avengers,78281,4.053716738416729,11745,59886,2986,15409,748,2238,15409,33552,26334,0.7650132215991109,0.03814463279723049,0.19684214560365862,4.05213087178668,推薦
钢铁侠1,Iron Man,23739,3.975820379965458,1998,17793,588,5358,97,491,5358,11736,6057,0.7495260962972324,0.024769366864653104,0.2257045368381145,3.9716084710624058,可考慮
湄公河行动,Operation Mekong,35093,3.967970820391531,85967,25563,1903,7627,486,1417,7627,14768,10795,0.7284358704015046,0.05422733878551278,0.21733679081298266,3.9651766178585928,可考慮
寻龙诀,The Ghouls,113687,3.8980622234732203,66632,80288,8234,25165,2699,5535,25165,47545,32743,0.7062197084978933,0.07242692656152419,0.22135336494058247,3.897378613665323,可考慮
七月与安生,Soulmate,68359,3.8629734197399026,56299,48508,3868,15983,1140,2728,15983,33016,15492,0.7096066355564008,0.05658362468731257,0.23380973975628666,3.861991815142504,可考慮
美国队长3,Captain America Civil War,64410,3.852119236143456,46870,43358,4704,16348,1530,3174,16348,25597,17761,0.6731563421828909,0.07303213786679087,0.25381151995031825,3.85112804876942,可考慮
泰囧,Lost In Thailand,85677,3.7694130280005136,26957,54307,6710,24660,1987,4723,24660,33996,20311,0.6338573946333321,0.07831740140294362,0.28782520396372424,3.7689556048230246,可考慮
夏洛特烦恼,Goodbye Mr. Loser,109162,3.7645609277953866,67110,69685,14764,24713,6288,8476,24713,34857,34828,0.6383631666697203,0.1352485297081402,0.22638830362213958,3.7642149424993985,可考慮
后会无期,The Continent,120200,3.679201331114809,101163,71393,16119,32688,6303,9816,32688,38724,32669,0.5939517470881863,0.13410149750415973,0.2719467554076539,3.6790995521648897,可考慮
西游降魔篇,Journey to the West Conquering the Demons,79962,3.533453390360421,29719,43376,10736,25850,3380,7356,25850,29980,13396,0.5424576673920112,0.1342637752932643,0.3232785573147245,3.533845356904502,不推薦
复仇者联盟2,Avengers Age of Ultron,54153,3.4961128653998856,16829,26172,6140,21841,1295,4845,21841,18043,8129,0.4832973242479641,0.1133824534190165,0.4033202223330194,3.496896333275837,不推薦
十二生肖,Chinese Zodiac,46233,3.473839032725542,9489,22828,6290,17115,1661,4629,17115,15798,7030,0.49375986849220255,0.13605000757035018,0.37019012393744727,3.474899448474613,不推薦
美人鱼,The Mermaid,73882,3.3797812728404755,116115,34370,13314,26198,4361,8953,26198,23006,11364,0.4652012668850329,0.18020627487073984,0.3545924582442273,3.3808268317903156,不推薦
大鱼海棠,Big Fish and Begonia,83692,3.263262916407781,162137,36132,21785,25775,9241,12544,25775,19205,16927,0.43172585193327917,0.26029967021937583,0.30797447784734505,3.2646025340016807,不推薦
变形金刚4,Transformers Age of Extinction,58746,3.256408946992136,9894,23254,12416,23076,3695,8721,23076,15334,7920,0.3958397167466721,0.21135056003813024,0.39280972321519764,3.2583493553478506,不推薦
长城,The Great Wall,83173,3.128803818546884,179754,38528,29403,15242,19861,9542,15242,17079,21449,0.46322724922751374,0.35351616510165557,0.18325658567083067,3.130635008156759,不推薦
西游伏妖篇,Journey to the West The Demons Strike Back,91452,3.0687464462231553,446811,35755,32248,23449,15951,16297,23449,17024,18731,0.3909701264051087,0.3526221405764773,0.256407733018414,3.0706087718618575,不推薦
左耳,The Left Ear,39802,2.777523742525501,31787,10491,16222,13089,7131,9091,13089,6484,4007,0.2635797196120798,0.40756745892166224,0.328852821466258,2.783963294495765,不推薦
栀子花开,Forever Young,30475,2.423560295324036,117682,8178,18552,3745,13138,5414,3745,2233,5945,0.26835110746513535,0.6087612797374897,0.1228876127973749,2.4354019832938802,不推薦
九层妖塔,Chronicles of the Ghostly Tribe,44366,2.3529279177748728,31731,9549,27157,7660,16076,11081,7660,4573,4976,0.21523238515980705,0.6121128792318442,0.17265473560834874,2.361561277837039,不推薦
小时代1,Tiny Times 1.0,88903,2.3413945536146135,102594,17072,50880,20951,33138,17742,20951,8678,8394,0.19202951531444384,0.5723091459230847,0.23566133876247145,2.345756264204894,不推薦
小时代3,Tiny Times 3.0,41152,2.1595548211508553,57963,6795,26771,7586,18589,8182,7586,2816,3979,0.1651195567651633,0.6505394634525661,0.1843409797822706,2.1702570692818,不推薦
何以笙箫默,My Sunshine,26797,1.8190842258461768,55299,2727,20561,3509,15240,5321,3509,1298,1429,0.10176512296152554,0.7672873829159981,0.1309474941224764,1.8392255982532817,不推薦
